name	sex	count
Aaden	m	4975
Aaliyah	f	94707
Aarav	m	6179
Aaron	m	578481
Abbey	f	17350
Abbie	f	16560
Abbigail	f	11872
Abby	f	59002
Abdiel	m	5711
Abdul	m	6068
Abdullah	m	7842
Abe	m	4256
Abel	m	55621
Abelardo	m	4296
Abigail	f	382445
Abigayle	f	6030
Abner	m	6192
Abraham	m	81088
Abram	m	16638
Abril	f	8273
Ace	m	14090
Ada	f	40583
Adalberto	m	4415
Adaline	f	10097
Adalyn	f	23166
Adalynn	f	24000
Adam	m	550683
Adan	m	27788
Addie	f	17014
Addilyn	f	7578
Addison	f	130444
Addison	m	11534
Addisyn	f	9086
Addyson	f	15817
Adela	f	9920
Adelaide	f	18343
Adele	f	21945
Adelina	f	10850
Adeline	f	40278
Adelyn	f	18141
Adelynn	f	11009
Aden	m	20110
Adina	f	6398
Aditya	m	5020
Adolfo	m	14689
Adolph	m	6857
Adonis	m	12919
Adrain	m	3810
Adria	f	6048
Adrian	f	15164
Adrian	m	242824
Adriana	f	91308
Adriane	f	6118
Adrianna	f	46102
Adrianne	f	13152
Adriel	m	18073
Adrien	m	8255
Adrienne	f	65257
Aedan	m	3638
Agnes	f	40600
Agustin	m	14269
Ahmad	m	18296
Ahmed	m	15253
Aida	f	11557
Aidan	m	112726
Aiden	m	223233
Aidyn	m	3893
Aileen	f	27017
Aimee	f	52895
Ainsley	f	17466
Aisha	f	23002
Aiyana	f	8754
Aja	f	8019
Ajay	m	4223
Akeem	m	6249
Akira	f	6633
Al	m	13549
Alaia	f	6294
Alain	m	3748
Alaina	f	43433
Alan	m	343547
Alana	f	59690
Alani	f	10269
Alanna	f	23038
Alannah	f	6593
Alaya	f	6945
Alayah	f	8025
Alayna	f	30308
Albert	m	283352
Alberta	f	29084
Alberto	m	58748
Alden	m	12704
Aldo	m	14677
Aleah	f	14651
Alec	m	52447
Alecia	f	11901
Aleena	f	10257
Alejandra	f	51159
Alejandro	m	136026
Alek	m	4112
Aleksander	m	3524
Alena	f	13719
Alesha	f	7467
Alesia	f	7408
Alessandra	f	20990
Alessandro	m	9295
Alex	f	9135
Alex	m	255338
Alexa	f	129084
Alexander	m	664680
Alexandra	f	237134
Alexandre	m	4896
Alexandrea	f	8543
Alexandria	f	100071
Alexandro	m	6676
Alexia	f	44579
Alexis	f	340737
Alexis	m	64603
Alexus	f	18537
Alexzander	m	6865
Alfonso	m	34805
Alfonzo	m	4981
Alfred	m	143100
Alfreda	f	7834
Alfredo	m	52200
Ali	f	10112
Ali	m	28997
Alia	f	11373
Aliana	f	6648
Alice	f	297431
Alicia	f	223730
Alijah	m	10708
Alina	f	34847
Aline	f	6690
Alisa	f	33898
Alisha	f	55980
Alison	f	113191
Alissa	f	37945
Alivia	f	30342
Aliya	f	9415
Aliyah	f	42335
Aliza	f	9838
Allan	m	83772
Allen	m	230947
Allie	f	36362
Allison	f	304975
Ally	f	9625
Allyson	f	52233
Allyssa	f	6622
Alma	f	72976
Alondra	f	39569
Alonso	m	10536
Alonzo	m	35004
Alphonse	m	4723
Alphonso	m	12858
Alta	f	9141
Althea	f	11581
Alton	m	33676
Alva	m	4766
Alvaro	m	15379
Alvin	m	111932
Alvis	m	3355
Alyce	f	9691
Alycia	f	9992
Alysa	f	6979
Alyse	f	7210
Alysha	f	9394
Alysia	f	9357
Alyson	f	28723
Alyssa	f	309686
Amado	m	3552
Amalia	f	11718
Amanda	f	770452
Amani	f	11115
Amar	m	4212
Amara	f	17756
Amare	m	5645
Amari	f	16382
Amari	m	21258
Amarion	m	3745
Amaris	f	7863
Amaya	f	34652
Amber	f	370875
Amberly	f	6189
Ambrose	m	5074
Ameer	m	5331
Amelia	f	189556
Amelie	f	7790
America	f	11956
Ami	f	7397
Amie	f	19989
Amina	f	14372
Amir	m	38720
Amira	f	16372
Amirah	f	7886
Amiya	f	7781
Amiyah	f	15269
Ammon	m	3768
Amos	m	22542
Amy	f	676756
Amya	f	9747
Ana	f	103018
Anabel	f	8863
Anabella	f	6265
Anabelle	f	8452
Anahi	f	16443
Anais	f	7597
Anakin	m	3481
Anastasia	f	45336
Anaya	f	13967
Anders	m	6548
Anderson	m	25424
Andre	m	124506
Andrea	f	435084
Andrea	m	5755
Andreas	m	7690
Andres	m	85525
Andrew	m	1222125
Andria	f	8865
Andy	m	84563
Angel	f	96940
Angel	m	239704
Angela	f	653359
Angelia	f	22228
Angelica	f	90359
Angelina	f	102327
Angeline	f	18366
Angelique	f	28825
Angelita	f	9818
Angelo	m	64598
Angie	f	58333
Angus	m	4815
Anibal	m	3651
Anika	f	15254
Anissa	f	12160
Anita	f	183043
Aniya	f	16890
Aniyah	f	27225
Ann	f	363078
Anna	f	509052
Annabel	f	11694
Annabella	f	13846
Annabelle	f	51932
Annalee	f	6403
Annalise	f	13403
Annamarie	f	11086
Anne	f	240669
Annemarie	f	11930
Annetta	f	6298
Annette	f	152106
Annie	f	163035
Annika	f	18124
Annmarie	f	18513
Ansley	f	10828
Anson	m	6619
Anthony	f	6629
Anthony	m	1360917
Antione	m	4767
Antionette	f	8181
Antoine	m	26009
Antoinette	f	55327
Anton	m	16898
Antone	m	3739
Antonia	f	26738
Antonio	m	239633
Antony	m	9903
Antwan	m	12210
Antwon	m	6247
Anya	f	17014
Apollo	m	5169
April	f	239825
Arabella	f	20283
Araceli	f	18564
Aracely	f	9171
Archer	m	15627
Archie	m	29316
Arden	f	6176
Arden	m	5602
Arely	f	9923
Ares	m	3989
Ari	m	15995
Aria	f	64492
Ariah	f	8668
Arian	m	5378
Ariana	f	106889
Arianna	f	95927
Aric	m	7478
Ariel	f	72601
Ariel	m	19107
Ariella	f	14066
Arielle	f	27209
Ariyah	f	6654
Arjun	m	9617
Arleen	f	10212
Arlen	m	6368
Arlene	f	111588
Arlie	m	3673
Arline	f	7688
Arlo	m	11520
Arman	m	3891
Armand	m	9930
Armando	m	70849
Armani	f	8860
Armani	m	11511
Arnav	m	3397
Arnold	m	68360
Arnoldo	m	4510
Arnulfo	m	5809
Aron	m	17719
Arron	m	7818
Art	m	4879
Arthur	m	320946
Artis	m	4185
Arturo	m	52845
Arvin	m	4154
Arya	f	19091
Aryan	m	6539
Aryana	f	6749
Aryanna	f	8858
Asa	m	15073
Asha	f	8243
Ashanti	f	12038
Ashely	f	6481
Asher	m	70387
Ashlee	f	43338
Ashleigh	f	31730
Ashley	f	849951
Ashley	m	14613
Ashlie	f	10014
Ashly	f	11377
Ashlyn	f	46348
Ashlynn	f	24288
Ashton	f	19075
Ashton	m	76391
Asia	f	31863
Aspen	f	17885
Astrid	f	9378
Athena	f	38386
Atlas	m	9052
Atticus	m	12078
Aubree	f	44210
Aubrey	f	119498
