name	count
Aaron	14904
Abbott	51620
Abel	18243
Abell	6860
Abernathy	16194
Abney	9743
Abraham	25729
Abrams	24961
Abreu	13012
Acevedo	38232
Aceves	7502
Acker	10273
Ackerman	24862
Ackley	6895
Acosta	76477
Acuna	12537
Adair	17969
Adam	12209
Adame	11848
Adams	413086
Adamson	16080
Adcock	12550
Addison	16474
Adkins	71528
Adler	16305
Agee	10595
Agnew	9644
Aguayo	9878
Aguiar	7027
Aguilar	126399
Aguilera	21685
Aguirre	58918
Ahern	8046
Ahmad	11395
Ahmed	26607
Ahn	8130
Ahrens	9895
Aiello	8883
Aiken	12014
Ainsworth	9102
Akers	24353
Akin	8378
Akins	16860
Alanis	7567
Alaniz	14169
Alarcon	12821
Alba	9872
Albers	9531
Albert	31159
Albertson	9666
Albrecht	17256
Albright	24942
Alcala	12972
Alcantar	8802
Alcantara	8112
Alcaraz	8041
Alcorn	7716
Aldana	7128
Alderman	9734
Aldrich	17017
Aldridge	22160
Aleman	16379
Alexander	193443
Alfaro	24108
Alfonso	9632
Alford	30050
Ali	36079
Alicea	10246
Allan	10746
Allard	9657
Allen	463368
Alley	14285
Allison	51504
Allman	7879
Allred	16951
Almanza	10412
Almeida	13523
Almond	6893
Almonte	8149
Alonso	20802
Alonzo	16326
Alston	28089
Altamirano	8200
Altman	15916
Alvarado	93723
Alvarez	168817
Alves	11326
Amador	15997
Amaral	8510
Amaro	8593
Amato	12411
Amaya	22149
Ambriz	7291
Ambrose	16697
Ames	21855
Amin	7601
Ammons	8522
Amos	22817
Amundson	6589
Anaya	17405
Anders	15375
Andersen	33508
Anderson	762394
Andrade	46702
Andre	8249
Andres	10034
Andrew	13145
Andrews	129320
Andrus	9438
Angel	19316
Angeles	8873
Angell	7010
Angelo	7630
Anglin	9694
Anguiano	12006
Angulo	9293
Anthony	52146
Antoine	7606
Antonio	10267
Aparicio	8587
Apodaca	10054
Aponte	12905
Appel	7934
Apple	6898
Applegate	11569
Aquino	18472
Aragon	20723
Arana	6957
Aranda	14683
Araujo	12646
Arce	14855
Archer	33411
Archibald	7794
Archie	6487
Archuleta	11978
Ard	7147
Arellano	34999
Arenas	8220
Arevalo	15942
Arguello	6585
Argueta	9738
Arias	40086
Armendariz	9569
Armenta	10542
Armijo	7465
Armour	7711
Armstead	7162
Armstrong	129982
Arndt	14052
Arnett	16027
Arnold	136315
Arredondo	21785
Arreola	14874
Arriaga	12765
Arrington	21216
Arroyo	37678
Arsenault	8539
Arteaga	13185
Arthur	27383
Artis	8835
Asbury	8270
Ash	20500
Ashby	16723
Ashcraft	9701
Ashe	7485
Asher	12710
Ashford	8801
Ashley	37021
Ashton	11619
Ashworth	10079
Askew	13095
Atchison	7879
Atherton	6435
Atkins	49754
Atkinson	51489
Atwell	8159
Atwood	16754
Augustine	13093
Ault	7673
Austin	113160
Autry	8321
Avalos	25875
Avery	37440
Avila	69843
Aviles	18521
Avina	6631
Ayala	66515
Ayers	38836
Ayres	10989
Babb	12726
Babcock	21769
Baca	24572
Bach	11375
Bachman	12887
Back	8540
Backus	6822
Bacon	29312
Bader	9020
Badger	7620
Badillo	6980
Baer	16165
Baez	22512
Baeza	6436
Baggett	12586
Bagley	16739
Bagwell	10526
Bahr	7610
Bailey	265916
Bain	16845
Bair	11027
Baird	34233
Baker	413351
Balderas	11520
Baldwin	79151
Bales	13028
Ball	77561
Ballard	59660
Ballesteros	7714
Ballew	7616
Ballinger	7880
Baltazar	8650
Banda	10954
Bandy	8426
Banks	99294
Bankston	6736
Bannister	8110
Banuelos	14260
Baptiste	7353
Barajas	32147
Barba	9088
Barbee	10501
Barber	76504
Barbosa	13433
Barbour	14188
Barclay	11160
Bard	6470
Bare	6724
Barela	6822
Barfield	12670
Barger	14635
Barker	85221
Barkley	12940
Barksdale	9565
Barlow	30749
Barnard	19517
Barnes	210426
Barnett	92287
Barnette	8363
Barney	15556
Barnhart	19642
Barnhill	8926
Baron	15464
Barone	12208
Barr	42432
Barragan	16021
Barraza	13430
Barrera	43720
Barreto	7209
Barrett	95896
Barrientos	12690
Barringer	6634
Barrios	22941
Barron	46196
Barrow	15277
Barrows	7493
Barry	45044
