name	municipality	population	lat	lon
Abbekås	1264	841	55.4000	13.6000
Adak	2418	200	65.3500	18.6167
Agnesberg	1480	200	57.7833	12.0000
Agunnaryd	0781	200	56.7500	14.1500
Alafors	1440	200	57.9258	12.0784
Alby	2260	272	62.5000	15.4667
Alfta	2121	2418	61.3468	16.0750
Alingsås	1489	27895	57.9303	12.5334
Almunge	0380	946	59.8833	18.0500
Alnö	2281	200	62.4489	17.4047
Alsterbro	0881	419	56.9500	15.9167
Alstermo	0760	845	56.9667	15.6333
Altersbruk	2581	200	65.4833	21.4000
Alunda	0382	2677	60.0667	18.0833
Alvesta	0764	9172	56.8994	14.5556
Alvhem	1440	402	58.0000	12.1500
Ambjörby	1737	200	60.5000	13.1667
Ambjörnarp	1452	303	57.4167	13.2833
Anderslöv	1287	2023	55.4333	13.3333
Anderstorp	0662	5026	57.2833	13.6333
Aneby	0604	3653	57.8389	14.8102
Angered	1480	1528	57.7833	12.1000
Ankarsrum	0883	1207	57.7000	16.3167
Ankarsvik	2281	200	62.3703	17.4117
Anneberg	0682	863	57.7167	14.8000
Annerstad	0781	200	56.7667	13.7167
Aplared	1490	431	57.6500	13.0667
Arboga	1984	10906	59.3939	15.8388
Arbrå	2183	1992	61.4667	16.3833
Arholma	0188	200	59.8500	19.1000
Arild	1284	757	56.2750	12.5750
Arjeplog	2506	1626	66.0517	17.8861
Arkelstorp	1290	792	56.1667	14.2667
Arlöv	1231	200	55.6325	13.0714
Arnemark	2581	200	65.4833	21.2000
Arnäsvall	2284	200	63.3167	18.7833
Arvidsjaur	2505	4448	65.5903	19.1668
Arvika	1784	14186	59.6553	12.5852
Asarum	1082	200	56.2000	14.8333
Askersund	1882	4271	58.8799	14.9023
Askim	1480	200	57.6158	11.9456
Asmundtorp	1282	1679	55.8833	12.9333
Asperöd	1265	200	55.5833	13.6667
Aspås	2309	524	63.3667	14.5000
Avesta	2084	16055	60.1454	16.1679
Axmar	2182	200	61.0000	17.1167
Axvall	1495	1121	58.3833	13.5667
Backaryd	1081	347	56.3333	15.1833
Backe	2313	475	63.8167	16.4000
Bagarmossen	0180	200	59.2591	18.1167
Ballingslöv	1293	357	56.2167	13.8500
Bandhagen	0180	200	59.2968	18.0313
Bankeryd	0680	8997	57.8500	14.1167
Bara	1263	4656	55.5833	13.2000
