code	name	region	population
0114	Upplands Väsby	01	50323
0115	Vallentuna	01	35119
0117	Österåker	01	49787
0120	Värmdö	01	46635
0123	Järfälla	01	88950
0125	Ekerö	01	28910
0126	Huddinge	01	114304
0127	Botkyrka	01	95905
0128	Salem	01	17507
0136	Haninge	01	100895
0138	Tyresö	01	49179
0139	Upplands-Bro	01	32868
0140	Nykvarn	01	12342
0160	Täby	01	77744
0162	Danderyd	01	32425
0163	Sollentuna	01	77624
0180	Stockholm	01	995574
0181	Södertälje	01	102911
0182	Nacka	01	112112
0183	Sundbyberg	01	56274
0184	Solna	01	85789
0186	Lidingö	01	48377
0187	Vaxholm	01	11822
0188	Norrtälje	01	66585
0191	Sigtuna	01	52767
0192	Nynäshamn	01	30579
0305	Håbo	03	22973
0319	Älvkarleby	03	9552
0330	Knivsta	03	21193
0331	Heby	03	14345
0360	Tierp	03	21104
0380	Uppsala	03	248016
0381	Enköping	03	48591
0382	Östhammar	03	22138
0428	Vingåker	04	8750
0461	Gnesta	04	11458
0480	Nyköping	04	58344
0481	Oxelösund	04	12031
0482	Flen	04	15362
0483	Katrineholm	04	34154
0484	Eskilstuna	04	107203
0486	Strängnäs	04	39313
0488	Trosa	04	14927
0509	Ödeshög	05	5237
0512	Ydre	05	3626
0513	Kinda	05	9957
0560	Boxholm	05	5517
0561	Åtvidaberg	05	11467
0562	Finspång	05	21623
0563	Valdemarsvik	05	7525
0580	Linköping	05	168035
0581	Norrköping	05	144980
0582	Söderköping	05	14789
0583	Motala	05	43505
0584	Vadstena	05	7490
0586	Mjölby	05	28695
0604	Aneby	06	6797
0617	Gnosjö	06	9131
0642	Mullsjö	06	7594
0643	Habo	06	13456
0662	Gislaved	06	28936
0665	Vaggeryd	06	14825
0680	Jönköping	06	147654
0682	Nässjö	06	31587
0683	Värnamo	06	34542
0684	Sävsjö	06	11563
0685	Vetlanda	06	27528
0686	Eksjö	06	17792
0687	Tranås	06	18604
0760	Uppvidinge	07	9061
0761	Lessebo	07	8289
0763	Tingsryd	07	11966
0764	Alvesta	07	19830
0765	Älmhult	07	17653
