code	name	population	timezone
01	Stockholms län	2473307	Europe/Stockholm
03	Uppsala län	407912	Europe/Stockholm
04	Södermanlands län	301542	Europe/Stockholm
05	Östergötlands län	472446	Europe/Stockholm
06	Jönköpings län	370009	Europe/Stockholm
07	Kronobergs län	203351	Europe/Stockholm
08	Kalmar län	246352	Europe/Stockholm
09	Gotlands län	60971	Europe/Stockholm
10	Blekinge län	157223	Europe/Stockholm
12	Skåne län	1428626	Europe/Stockholm
13	Hallands län	345074	Europe/Stockholm
14	Västra Götalands län	1772821	Europe/Stockholm
17	Värmlands län	283384	Europe/Stockholm
18	Örebro län	308375	Europe/Stockholm
19	Västmanlands län	281158	Europe/Stockholm
20	Dalarnas län	286546	Europe/Stockholm
21	Gävleborgs län	284558	Europe/Stockholm
22	Västernorrlands län	241458	Europe/Stockholm
23	Jämtlands län	132839	Europe/Stockholm
24	Västerbottens län	281138	Europe/Stockholm
25	Norrbottens län	248620	Europe/Stockholm
