name	locality	segments
Kustvägen	Abbekås	18
Kalmarvägen	Abbekås	10
Faxevägen	Abbekås	9
Nils Holgerssons väg	Abbekås	5
Sockenvägen	Abbekås	5
Södrevångsvägen	Abbekås	5
Kroppsmarksvägen	Abbekås	4
Tennisvägen	Abbekås	4
Fiskarevägen	Abbekås	3
Idrottsvägen	Abbekås	3
Sörgårdsvägen	Adak	9
Slagnäsvägen	Adak	8
Gruvvägen	Adak	3
Ringvägen	Adak	3
Öhmansvägen	Adak	2
Arthur Fribergs väg	Adak	1
Mellansänkevägen	Adak	1
Nygatan	Adak	1
Hjällbovägen	Agnesberg	96
Transportgatan	Agnesberg	92
Gråbovägen	Agnesberg	73
Litteraturgatan	Agnesberg	69
Gamlestadsvägen	Agnesberg	66
Lillekärr norra	Agnesberg	55
Orrekulla industrigata	Agnesberg	48
Lillekärr södra	Agnesberg	46
Nortagenevägen	Agnesberg	46
Lillhagsparken	Agnesberg	44
Bokvägen	Agunnaryd	6
Bygdevägen	Agunnaryd	5
Anders väg	Agunnaryd	3
Promenadvägen	Agunnaryd	3
Agundavägen	Agunnaryd	2
Brånavägen	Agunnaryd	2
Palms väg	Agunnaryd	2
Bankabodavägen	Agunnaryd	1
Björkelundsvägen	Agunnaryd	1
Lönnvägen	Agunnaryd	1
Ledetvägen	Alafors	16
Alingsåsvägen	Alafors	15
Lunnavägen	Alafors	15
Brobacken	Alafors	12
Häljeredsvägen	Alafors	9
Rishedsvägen	Alafors	8
Sjövallavägen	Alafors	8
Brandsbovägen	Alafors	6
Furulundsvägen	Alafors	6
Randåsvägen	Alafors	6
Albyvägen	Alby	14
Gamla vägen	Alby	14
Industrivägen	Alby	13
Idrottsvägen	Alby	10
Murarvägen	Alby	8
Torsjövägen	Alby	7
Omformarvägen	Alby	6
Svenskbyvägen	Alby	5
Tallmovägen	Alby	4
Bakgatan	Alby	3
Runemovägen	Alfta	12
Bornvägen	Alfta	11
Brickmansvägen	Alfta	9
Bromansvägen	Alfta	6
Långgatan	Alfta	6
Rösabergsvägen	Alfta	6
Skindravägen	Alfta	6
Västra Ösavägen	Alfta	6
Kvarnbacksvägen	Alfta	5
Per-Ersvägen	Alfta	5
Lygnövägen	Alingsås	53
Enehagsgatan	Alingsås	39
Marydsvägen	Alingsås	39
Saxebäcksvägen	Alingsås	35
Vänersborgsvägen	Alingsås	34
Färgesundsvägen	Alingsås	31
Stadsskogsgatan	Alingsås	27
Gamla Kungsvägen	Alingsås	22
Bolltorpshöjdsvägen	Alingsås	20
Bolltorpsvägen	Alingsås	20
Vargmossevägen	Almunge	22
Almungevägen	Almunge	13
Eknäsvägen	Almunge	9
Hästhagsvägen	Almunge	8
Eksundavägen	Almunge	6
Lillsjövägen	Almunge	5
Långsjövägen	Almunge	5
Silvervägen	Almunge	5
Bibacken	Almunge	4
Mogavägen	Almunge	4
Raholmsvägen	Alnö	48
Johannedalsvägen	Alnö	38
Färjevägen	Alnö	18
Vibacksvägen	Alnö	12
Kryssarvägen	Alnö	9
Fockvägen	Alnö	8
Kajutvägen	Alnö	8
Sätervägen	Alnö	8
Berghemsvägen	Alnö	7
Tunadalsvägen	Alnö	7
Bäckebovägen	Alsterbro	10
Näshagsvägen	Alsterbro	7
Marknadsvägen	Alsterbro	6
Smedtorpsvägen	Alsterbro	6
Nybrovägen	Alsterbro	5
Oxhagsvägen	Alsterbro	5
Ringvägen	Alsterbro	5
