code	name	region	population
01001	Autauga County	AL	61920
01003	Baldwin County	AL	267761
01031	Coffee County	AL	56953
01055	Etowah County	AL	103886
01069	Houston County	AL	110318
01073	Jefferson County	AL	665742
01077	Lauderdale County	AL	97135
01081	Lee County	AL	189881
01083	Limestone County	AL	122928
01089	Madison County	AL	433516
01097	Mobile County	AL	411658
01101	Montgomery County	AL	225891
01103	Morgan County	AL	126483
01113	Russell County	AL	58898
01117	Shelby County	AL	238552
01125	Tuscaloosa County	AL	241368
02020	Anchorage Municipality	AK	287155
02090	Fairbanks North Star Borough	AK	93972
02110	Juneau City and Borough	AK	31609
04003	Cochise County	AZ	126332
04005	Coconino County	AZ	144368
04013	Maricopa County	AZ	4689558
04015	Mohave County	AZ	228102
04019	Pima County	AZ	1074685
04021	Pinal County	AZ	539380
04025	Yavapai County	AZ	252552
04027	Yuma County	AZ	224449
05007	Benton County	AR	332554
05031	Craighead County	AR	116957
05045	Faulkner County	AR	133979
05051	Garland County	AR	99695
05055	Greene County	AR	47411
05069	Jefferson County	AR	62987
05085	Lonoke County	AR	76664
05091	Miller County	AR	42357
05115	Pope County	AR	64976
05119	Pulaski County	AR	404611
05125	Saline County	AR	133288
05131	Sebastian County	AR	130641
05143	Washington County	AR	271213
06001	Alameda County	CA	1636630
06007	Butte County	CA	209211
06013	Contra Costa County	CA	1170070
06019	Fresno County	CA	1035456
06023	Humboldt County	CA	131647
06025	Imperial County	CA	181411
06029	Kern County	CA	927068
06031	Kings County	CA	154327
06037	Los Angeles County	CA	9694934
06039	Madera County	CA	167927
06041	Marin County	CA	253694
06047	Merced County	CA	297260
06053	Monterey County	CA	433729
06055	Napa County	CA	132949
06059	Orange County	CA	3149507
06061	Placer County	CA	442081
06065	Riverside County	CA	2544916
06067	Sacramento County	CA	1618460
06069	San Benito County	CA	70082
06071	San Bernardino County	CA	2224091
06073	San Diego County	CA	3282248
06075	San Francisco County	CA	826079
06077	San Joaquin County	CA	823815
06079	San Luis Obispo County	CA	282367
06081	San Mateo County	CA	743568
06083	Santa Barbara County	CA	442065
06085	Santa Clara County	CA	1914391
06087	Santa Cruz County	CA	258852
06089	Shasta County	CA	181648
06095	Solano County	CA	455376
06097	Sonoma County	CA	486444
06099	Stanislaus County	CA	557719
06101	Sutter County	CA	98787
06107	Tulare County	CA	485146
06111	Ventura County	CA	830851
06113	Yolo County	CA	224410
08001	Adams County	CO	554668
08005	Arapahoe County	CO	673820
08013	Boulder County	CO	328560
08014	Broomfield County	CO	79174
08031	Denver County	CO	740613
08035	Douglas County	CO	399396
08041	El Paso County	CO	757040
08059	Jefferson County	CO	580451
08069	Larimer County	CO	377292
08077	Mesa County	CO	162845
08101	Pueblo County	CO	169277
08123	Weld County	CO	378426
09110	Capitol Planning Region	CT	994115
09120	Greater Bridgeport Planning Region	CT	337697
09130	Lower Connecticut River Valley Planning Region	CT	177311
09140	Naugatuck Valley Planning Region	CT	463349
09160	Northwest Hills Planning Region	CT	114690
09170	South Central Connecticut Planning Region	CT	578741
09180	Southeastern Connecticut Planning Region	CT	284015
09190	Western Connecticut Planning Region	CT	640482
10001	Kent County	DE	194786
10003	New Castle County	DE	588026
11001	District of Columbia	DC	693645
12001	Alachua County	FL	290028
12005	Bay County	FL	204479
12009	Brevard County	FL	663982
12011	Broward County	FL	2013317
12031	Duval County	FL	1062963
12033	Escambia County	FL	333834
12035	Flagler County	FL	140360
12057	Hillsborough County	FL	1574115
12061	Indian River County	FL	172799
12069	Lake County	FL	456068
12071	Lee County	FL	875607
12073	Leon County	FL	299048
12081	Manatee County	FL	468200
12083	Marion County	FL	442660
12086	Miami-Dade County	FL	2802029
12091	Okaloosa County	FL	221810
12095	Orange County	FL	1528002
12097	Osceola County	FL	481718
12099	Palm Beach County	FL	1575726
12103	Pinellas County	FL	948563
12105	Polk County	FL	874790
12111	St. Lucie County	FL	402449
12115	Sarasota County	FL	479958
12117	Seminole County	FL	491884
12127	Volusia County	FL	606573
13015	Bartow County	GA	120800
13021	Bibb County	GA	157556
13031	Bulloch County	GA	86949
13045	Carroll County	GA	131036
13051	Chatham County	GA	311855
13057	Cherokee County	GA	299273
13059	Clarke County	GA	129921
13067	Cobb County	GA	793345
13077	Coweta County	GA	160240
13089	DeKalb County	GA	774394
13095	Dougherty County	GA	82616
13097	Douglas County	GA	154293
13113	Fayette County	GA	125156
13115	Floyd County	GA	101378
13121	Fulton County	GA	1098791
13135	Gwinnett County	GA	1018099
13139	Hall County	GA	226568
13151	Henry County	GA	264922
13153	Houston County	GA	178214
13179	Liberty County	GA	70313
13185	Lowndes County	GA	122867
13215	Muscogee County	GA	202171
13245	Richmond County	GA	206559
13285	Troup County	GA	72844
13313	Whitfield County	GA	106212
16001	Ada County	ID	546141
16005	Bannock County	ID	91591
16019	Bonneville County	ID	135771
16027	Canyon County	ID	275123
16055	Kootenai County	ID	191864
16057	Latah County	ID	41842
16065	Madison County	ID	55172
16069	Nez Perce County	ID	42905
16083	Twin Falls County	ID	97539
17001	Adams County	IL	64267
17007	Boone County	IL	53568
17019	Champaign County	IL	209972
17031	Cook County	IL	5194625
17037	DeKalb County	IL	101835
17043	DuPage County	IL	934298
17089	Kane County	IL	525757
17093	Kendall County	IL	145470
17095	Knox County	IL	47767
17097	Lake County	IL	719339
17111	McHenry County	IL	317751
17113	McLean County	IL	171419
17115	Macon County	IL	99300
17119	Madison County	IL	263110
17143	Peoria County	IL	178553
17161	Rock Island County	IL	141869
17163	St. Clair County	IL	250708
17167	Sangamon County	IL	194170
17179	Tazewell County	IL	130049
17183	Vermilion County	IL	71259
17197	Will County	IL	712253
17201	Winnebago County	IL	283674
18003	Allen County	IN	402329
18005	Bartholomew County	IN	85729
18011	Boone County	IN	80689
18019	Clark County	IN	130451
18035	Delaware County	IN	113106
18039	Elkhart County	IN	208774
18043	Floyd County	IN	82153
18053	Grant County	IN	66524
18057	Hamilton County	IN	387036
18059	Hancock County	IN	90969
18063	Hendricks County	IN	193510
18067	Howard County	IN	83904
18081	Johnson County	IN	174262
18089	Lake County	IN	504612
18091	LaPorte County	IN	111294
18095	Madison County	IN	135088
18097	Marion County	IN	992196
18105	Monroe County	IN	143345
18127	Porter County	IN	176049
18141	St. Joseph County	IN	272861
18157	Tippecanoe County	IN	190456
18163	Vanderburgh County	IN	181995
18167	Vigo County	IN	106512
18177	Wayne County	IN	66169
19013	Black Hawk County	IA	131532
19033	Cerro Gordo County	IA	42372
19049	Dallas County	IA	118457
19061	Dubuque County	IA	99381
19103	Johnson County	IA	160044
19113	Linn County	IA	232028
19127	Marshall County	IA	39890
19153	Polk County	IA	516546
19155	Pottawattamie County	IA	92996
19163	Scott County	IA	175259
19169	Story County	IA	101291
19179	Wapello County	IA	35210
19193	Woodbury County	IA	106649
20045	Douglas County	KS	120920
20055	Finney County	KS	37505
20057	Ford County	KS	33993
20091	Johnson County	KS	636906
20103	Leavenworth County	KS	84590
20155	Reno County	KS	61539
20161	Riley County	KS	72598
20169	Saline County	KS	53377
20173	Sedgwick County	KS	538433
20177	Shawnee County	KS	178607
20209	Wyandotte County	KS	170597
21015	Boone County	KY	145316
21047	Christian County	KY	70115
21059	Daviess County	KY	104898
21067	Fayette County	KY	329751
21073	Franklin County	KY	52649
21093	Hardin County	KY	113482
21101	Henderson County	KY	44255
21111	Jefferson County	KY	795222
21113	Jessamine County	KY	57147
21117	Kenton County	KY	175779
21145	McCracken County	KY	67553
21151	Madison County	KY	101696
21209	Scott County	KY	62262
21227	Warren County	KY	149375
22015	Bossier Parish	LA	131867
22017	Caddo Parish	LA	224226
22019	Calcasieu Parish	LA	208466
22033	East Baton Rouge Parish	LA	456180
22045	Iberia Parish	LA	66846
22051	Jefferson Parish	LA	431398
22071	Orleans Parish	LA	362154
22073	Ouachita Parish	LA	158542
22079	Rapides Parish	LA	125877
22103	St. Tammany Parish	LA	279108
22109	Terrebonne Parish	LA	104163
23001	Androscoggin County	ME	116487
23005	Cumberland County	ME	317222
23019	Penobscot County	ME	157967
24021	Frederick County	MD	302883
24031	Montgomery County	MD	1074582
24033	Prince George's County	MD	970374
24043	Washington County	MD	157731
24045	Wicomico County	MD	106899
24510	Baltimore city	MD	569997
25001	Barnstable County	MA	233539
25003	Berkshire County	MA	128224
25005	Bristol County	MA	593640
25009	Essex County	MA	826653
25013	Hampden County	MA	464338
25015	Hampshire County	MA	164065
25017	Middlesex County	MA	1669979
25021	Norfolk County	MA	739749
