code	locality	addresses
01001	2500840	1484
01002	2501370	1922
01003	2501370	75
01013	2513660	1854
01020	2513660	2752
01022	2513660	239
01028	2567000	1633
01030	2500840	1053
01040	2530840	2768
01053	2546330	170
01060	2546330	1295
01062	2546330	944
01063	2546330	26
01077	2576030	944
01085	2576030	3505
01089	2577890	2353
01103	2567000	207
01104	2567000	1686
01105	2567000	563
01107	2567000	515
01108	2567000	1536
01109	2567000	1874
01118	2567000	1145
01119	2567000	1135
01128	2567000	266
01129	2567000	658
01144	2567000	3
01151	2567000	755
01201	2553960	4562
01420	2523875	3699
01453	2535075	3420
01545	2582000	3132
01583	2582000	775
01602	2582000	1537
01603	2582000	1186
01604	2582000	2440
01605	2582000	1547
01606	2582000	1733
01607	2582000	524
01608	2582000	245
01609	2582000	1119
01610	2582000	1028
01701	2524960	2571
01702	2524960	1909
01752	2538715	2858
01773	2572600	591
01801	2581035	3422
01824	2537000	2533
01830	2529405	2091
01832	2529405	1808
01835	2529405	1117
01840	2534550	260
01841	2534550	2019
01843	2534550	1319
01850	2537000	1029
01851	2537000	1796
01852	2537000	2318
01854	2537000	1452
01901	2537490	134
01902	2537490	2047
01904	2537490	1452
01905	2537490	1341
01915	2505595	3006
01930	2526150	3279
01960	2552490	3404
01965	2505595	24
01970	2559105	2715
02038	2525172	2858
02108	2507000	232
02109	2507000	225
02110	2507000	191
02111	2507000	249
02113	2507000	313
02114	2507000	346
02115	2507000	400
02116	2507000	510
02118	2507000	793
02119	2507000	1374
02120	2507000	426
02121	2507000	815
02122	2507000	1097
02124	2507000	1969
02125	2507000	1311
02126	2507000	994
02127	2507000	1533
02128	2507000	1104
02129	2507000	1026
02130	2507000	1663
02131	2507000	1457
02132	2507000	2156
02134	2507000	696
02135	2507000	1465
02136	2507000	1947
02138	2511000	1630
02139	2511000	1380
02140	2511000	780
02141	2511000	513
02142	2511000	120
02143	2562535	1211
02144	2562535	961
02145	2562535	1121
02148	2537875	3423
02149	2521990	2010
02150	2513205	1213
02151	2556585	2705
02155	2539835	3428
02163	2507000	9
02169	2555745	3349
02170	2555745	1127
02171	2555745	1058
02176	2540115	2269
02184	2507740	3031
02188	2578972	1163
02189	2578972	1101
02190	2578972	1343
02191	2578972	703
02199	2507000	8
02203	2507000	1
02210	2507000	187
02215	2507000	364
02301	2509000	3912
02302	2509000	2546
02324	2508130	2067
02325	2508130	15
02368	2556000	2603
02451	2572600	1321
02452	2572600	799
02453	2572600	1714
02458	2545560	1009
02459	2545560	1802
02460	2545560	728
02461	2545560	673
02462	2545560	163
02464	2545560	242
02465	2545560	1219
02466	2545560	584
02468	2545560	606
02601	2503690	2146
02630	2503690	414
02632	2503690	1835
02635	2503690	775
02637	2503690	52
02647	2503690	88
02648	2503690	1085
02655	2503690	960
02668	2503690	639
02672	2503690	94
02703	2502690	4223
02717	2523000	570
02718	2569170	546
02720	2523000	2412
02721	2523000	1838
02723	2523000	926
02724	2523000	1207
02740	2545000	3560
02744	2545000	667
02745	2545000	2134
02746	2545000	839
02760	2546598	2450
02763	2546598	187
02764	2569170	426
02780	2569170	3594
02818	4474300	2320
02823	4419180	9
02831	4419180	473
02860	4454640	2843
02861	4454640	2026
02886	4474300	3774
02888	4474300	2417
02889	4474300	3368
02895	4480780	2880
02903	4459000	979
02904	4459000	2582
02905	4459000	1638
02906	4459000	2078
02907	4459000	1258
02908	4459000	2253
02909	4459000	2184
02910	4419180	2076
02911	4459000	1489
02912	4459000	35
02914	4422960	1939
02915	4422960	1942
02916	4422960	1035
02919	4459000	3334
02920	4419180	3714
02921	4419180	1409
03060	3350260	2170
03062	3350260	2245
03063	3350260	1251
03064	3350260	1315
03101	3345140	465
03102	3345140	2126
03103	3345140	2824
03104	3345140	2782
03109	3345140	939
03224	3314200	427
03301	3314200	2648
03303	3314200	1335
03820	3318820	2404
03823	3318820	177
03839	3365140	316
03867	3365140	1954
03868	3365140	526
04019	2360545	54
04101	2360545	1138
04102	2360545	1382
04103	2360545	2568
04106	2371990	2402
04107	2371990	1178
04108	2360545	360
04109	2360545	116
04210	2302060	2750
04240	2338740	3246
04401	2302795	4278
05401	5010675	1401
05405	5010675	27
05408	5010675	616
06010	0908420	4399
06051	0950370	1239
06052	0950370	573
06053	0950370	1611
06062	0908420	1426
06095	0937000	2437
06103	0937000	233
06105	0937000	439
06106	0937000	1310
06112	0937000	733
06114	0937000	769
06120	0937000	484
06320	0952280	1717
06360	0956200	3132
06380	0956200	210
06389	0956200	33
06450	0946450	2112
06451	0946450	1648
06457	0947290	3405
06459	0947290	5
06460	0947515	3566
06461	0947515	1425
06484	0968100	3624
06510	0952000	123
06511	0952000	1840
06513	0952000	1579
06514	0952000	1590
06515	0952000	752
06516	0982800	3201
06519	0952000	641
06604	0908000	1413
06605	0908000	1003
06606	0908000	2389
06607	0908000	393
06608	0908000	738
06610	0908000	983
06702	0980000	235
06704	0980000	1567
06705	0980000	1447
06706	0980000	956
06708	0980000	2139
06710	0980000	508
06762	0949880	952
06770	0949880	2203
06790	0976500	3091
06810	0918430	2281
06811	0918430	2029
06831	0973000	1418
06850	0955990	1305
06851	0955990	1748
06853	0955990	401
06854	0955990	1295
06855	0955990	527
06901	0973000	178
06902	0973000	2649
06903	0973000	1445
06905	0973000	1280
06906	0973000	454
06907	0973000	514
07002	3403580	1664
07008	3410750	1431
07010	3413570	678
07011	3413690	1596
07012	3413690	651
07013	3413690	1894
07014	3413690	324
07017	3419390	1007
07018	3419390	671
07024	3424420	1227
07026	3425770	1238
07030	3432250	878
07032	3436510	1223
07036	3440350	2853
07055	3456550	1613
07060	3459190	1237
07062	3459190	665
07063	3459190	435
07065	3461530	1858
07066	3479040	1272
07086	3432250	357
07087	3474630	1297
07090	3479040	2273
07093	3479610	950
07102	3451000	574
07103	3451000	1191
07104	3451000	1099
07105	3451000	1292
07106	3451000	854
07107	3451000	805
07108	3451000	697
07110	3413690	1782
07112	3451000	858
07114	3451000	683
07201	3421000	780
07202	3421000	941
07206	3421000	630
07208	3421000	822
07302	3436000	776
07304	3436000	874
07305	3436000	1480
07306	3436000	1046
07307	3436000	742
07310	3436000	110
07311	3436000	4
07410	3422470	3083
07450	3463000	1957
07501	3457000	898
07502	3457000	465
07503	3457000	671
07504	3457000	471
07505	3457000	156
07513	3457000	332
07514	3457000	522
07522	3457000	598
07524	3457000	419
07601	3428680	1832
07621	3405170	1824
07631	3421480	1631
07644	3441100	1135
07652	3455950	2326
07740	3441310	2086
08102	3410000	616
08103	3410000	1127
08104	3410000	1512
08105	3410000	1663
08110	3410000	1642
08302	3407600	3921
08332	3446680	4261
08344	3476070	229
08360	3476070	2884
08361	3476070	1619
08401	3402080	2930
08540	3460900	2945
08542	3460900	207
08544	3460900	4
08608	3474000	158
08609	3474000	766
08611	3474000	1241
08618	3474000	2143
08628	3474000	681
08629	3474000	711
08638	3474000	1883
08859	3465790	1192
08861	3458200	1876
08872	3465790	1175
08879	3465790	1771
08901	3451210	1504
10003	3651000	1
10464	3651000	1
10466	3651000	7
10470	3651000	5
10471	3651000	5
10528	3632402	949
10550	3649121	1036
10552	3649121	778
10553	3649121	388
10562	3655530	1754
10566	3656979	1290
10577	3632402	315
10601	3681677	245
10603	3681677	1002
10604	3632402	626
10605	3681677	1294
10606	3681677	672
10701	3684000	1734
10703	3684000	715
10704	3684000	1323
10705	3684000	938
10707	3684000	666
10708	3684000	1347
10710	3684000	1410
10801	3650617	1652
10804	3650617	1296
10805	3650617	467
10940	3647042	3568
11201	3651000	849
11203	3651000	1207
11204	3651000	958
11205	3651000	455
11206	3651000	815
11207	3651000	1530
11208	3651000	1467
11209	3651000	1018
11210	3651000	957
11211	3651000	952
11212	3651000	905
11213	3651000	489
11214	3651000	1061
11215	3651000	781
11216	3651000	515
11217	3651000	464
11218	3651000	884
11219	3651000	940
11220	3651000	819
11221	3651000	826
11222	3651000	829
11223	3651000	1171
11224	3651000	602
11225	3651000	422
11226	3651000	889
11228	3651000	681
11229	3651000	1329
11230	3651000	1003
11231	3651000	768
11232	3651000	450
11233	3651000	751
11234	3651000	1926
11235	3651000	1447
11236	3651000	1764
11237	3651000	614
11238	3651000	528
11239	3651000	118
11249	3651000	383
11362	3651000	9
11363	3651000	7
11385	3651000	40
11411	3651000	4
11414	3651000	27
11416	3651000	13
11417	3651000	11
11421	3651000	18
11422	3651000	16
11428	3651000	1
11429	3651000	4
11430	3651000	1
11520	3627485	2237
11542	3629113	1763
11550	3633139	2277
11561	3643335	1535
11570	3663264	1973
11580	3676705	2686
11581	3676705	1255
11757	3642554	3063
12180	3675484	4365
12182	3675484	1209
12202	3601000	568
12203	3601000	1884
