name	locality	addresses
State Rte 25	0100820	139
Montevallo Rd	0100820	124
US Hwy 31	0100820	113
Co Rd 22	0100820	111
Co Rd 17	0100820	92
Co Rd 10	0100820	60
Smokey Rd	0100820	54
Co Rd 86	0100820	43
Co Rd 42	0100820	41
State Rte 70	0100820	37
Lee Hwy	0102956	196
Mooresville Rd	0102956	68
Brownsferry Rd	0102956	59
Snake Rd	0102956	52
Nick Davis Rd	0102956	43
Lucas Ferry Rd	0102956	42
Pepper Rd	0102956	34
Elkton Rd	0102956	33
Huntsville Brownsferry Rd	0102956	33
Shaw Rd	0102956	33
Lee Road 10	0103076	66
E University Dr	0103076	54
S College St	0103076	47
Lee Road 188	0103076	44
Society Hill Rd	0103076	39
Heath Rd	0103076	38
Moores Mill Rd	0103076	36
N College St	0103076	32
Pear Tree Rd	0103076	31
Wire Rd	0103076	31
1st Ave N	0107000	145
6th Ave S	0107000	125
9th Ave N	0107000	122
5th Ave S	0107000	119
16th St N	0107000	115
19th St N	0107000	110
2nd Ave N	0107000	104
17th St N	0107000	98
18th St N	0107000	98
Cherry Ave	0107000	95
Ridgewood Dr	0119648	87
Old Spanish Trl	0119648	54
Main St	0119648	47
US Hwy 98	0119648	45
Co Rd 54	0119648	43
Spanish Fort Blvd	0119648	42
Co Rd 49	0119648	28
Daphne Ave	0119648	26
Bay View Dr	0119648	23
US Hwy 31	0119648	23
6th Ave SE	0120104	86
Hwy 36 E	0120104	82
Bee Line Hwy	0120104	64
Old Moulton Rd	0120104	47
Bethel Rd	0120104	42
8th St SE	0120104	41
Danville Rd SW	0120104	41
Central Pkwy SW	0120104	39
US Hwy 31 S	0120104	38
11th St SE	0120104	37
Ross Clark Cir	0121184	95
S Park Ave	0121184	94
W Main St	0121184	75
Fortner St	0121184	74
3rd Ave	0121184	70
S Oates St	0121184	63
Montgomery Hwy	0121184	57
S Co Rd 33	0121184	52
E Main St	0121184	51
Hodgesville Rd	0121184	51
Boll Weevil Cir	0124184	31
E Park Ave	0124184	29
Shellfield Rd	0124184	27
Ozark Hwy	0124184	25
W College St	0124184	24
Co Rd 606	0124184	22
Geneva Hwy	0124184	22
Bellwood Rd	0124184	21
Rucker Blvd	0124184	21
E Lee St	0124184	20
S Greeno Rd	0125240	63
Co Rd 32	0125240	44
Fairhope Ave	0125240	42
Co Rd 30	0125240	41
Main St	0125240	39
State Rte 181	0125240	38
S Section St	0125240	33
Scenic Highway 98	0125240	33
Morphy Ave	0125240	28
Co Rd 3	0125240	27
Chisholm Rd	0126896	105
Florence Blvd	0126896	69
Lauderdale County 8	0126896	67
Huntsville Rd	0126896	61
Cloverdale Rd	0126896	59
Lauderdale County 47	0126896	44
Hermitage Dr	0126896	41
Lauderdale County 6	0126896	41
Lauderdale County 15	0126896	40
Veterans Dr	0126896	39
US Hwy 98	0126992	130
Dixie Graves Pkwy	0126992	87
Co Rd 12	0126992	83
Co Rd 32	0126992	53
Co Rd 6	0126992	53
Fort Morgan Rd	0126992	53
Co Rd 28	0126992	48
Miflin Rd	0126992	47
State Rte 59	0126992	47
Co Rd 65	0126992	46
Rainbow Dr	0128696	76
W Meighan Blvd	0128696	48
E Broad St	0128696	45
Duck Springs Rd	0128696	43
Tabor Rd	0128696	42
Whorton Bend Rd	0128696	41
Lay Springs Rd	0128696	40
Fairview Rd	0128696	39
S 11th St	0128696	39
Tuscaloosa Ave	0128696	39
Oxmoor Rd	0135800	59
Lakeshore Dr	0135800	35
Independence Dr	0135800	24
Valley Ave	0135800	24
Saulter Rd	0135800	22
W Oxmoor Rd	0135800	20
Broadway St	0135800	19
Columbiana Rd	0135800	18
18th St S	0135800	15
Green Springs Hwy	0135800	15
Shades Crest Rd	0135896	83
Cahaba Valley Rd	0135896	75
Valleydale Rd	0135896	65
