idempotent	method	safe
yes	ACL	no
yes	BASELINE-CONTROL	no
yes	BIND	no
yes	CHECKIN	no
yes	CHECKOUT	no
no	CONNECT	no
yes	COPY	no
yes	DELETE	no
yes	GET	yes
yes	HEAD	yes
yes	LABEL	no
yes	LINK	no
no	LOCK	no
yes	MERGE	no
yes	MKACTIVITY	no
yes	MKCALENDAR	no
yes	MKCOL	no
yes	MKREDIRECTREF	no
yes	MKWORKSPACE	no
yes	MOVE	no
yes	OPTIONS	yes
yes	ORDERPATCH	no
no	PATCH	no
no	POST	no
yes	PRI	yes
yes	PROPFIND	yes
yes	PROPPATCH	no
yes	PUT	no
yes	QUERY	yes
yes	REBIND	no
yes	REPORT	yes
yes	SEARCH	yes
yes	TRACE	yes
yes	UNBIND	no
yes	UNCHECKOUT	no
yes	UNLINK	no
yes	UNLOCK	no
yes	UPDATE	no
yes	UPDATEREDIRECTREF	no
yes	VERSION-CONTROL	no
