tld	type	unicode
.aaa	generic	.aaa
.aarp	generic	.aarp
.abb	generic	.abb
.abbott	generic	.abbott
.abbvie	generic	.abbvie
.abc	generic	.abc
.able	generic	.able
.abogado	generic	.abogado
.abudhabi	generic	.abudhabi
.ac	country-code	.ac
.academy	generic	.academy
.accenture	generic	.accenture
.accountant	generic	.accountant
.accountants	generic	.accountants
.aco	generic	.aco
.actor	generic	.actor
.ad	country-code	.ad
.ads	generic	.ads
.adult	generic	.adult
.ae	country-code	.ae
.aeg	generic	.aeg
.aero	sponsored	.aero
.aetna	generic	.aetna
.af	country-code	.af
.afl	generic	.afl
.africa	generic	.africa
.ag	country-code	.ag
.agakhan	generic	.agakhan
.agency	generic	.agency
.ai	country-code	.ai
.aig	generic	.aig
.airbus	generic	.airbus
.airforce	generic	.airforce
.airtel	generic	.airtel
.akdn	generic	.akdn
.al	country-code	.al
.alibaba	generic	.alibaba
.alipay	generic	.alipay
.allfinanz	generic	.allfinanz
.allstate	generic	.allstate
.ally	generic	.ally
.alsace	generic	.alsace
.alstom	generic	.alstom
.am	country-code	.am
.amazon	generic	.amazon
.americanexpress	generic	.americanexpress
.americanfamily	generic	.americanfamily
.amex	generic	.amex
.amfam	generic	.amfam
.amica	generic	.amica
.amsterdam	generic	.amsterdam
.analytics	generic	.analytics
.android	generic	.android
.anquan	generic	.anquan
.anz	generic	.anz
.ao	country-code	.ao
.aol	generic	.aol
.apartments	generic	.apartments
.app	generic	.app
.apple	generic	.apple
.aq	country-code	.aq
.aquarelle	generic	.aquarelle
.ar	country-code	.ar
.arab	generic	.arab
.aramco	generic	.aramco
.archi	generic	.archi
.army	generic	.army
.arpa	infrastructure	.arpa
.art	generic	.art
.arte	generic	.arte
.as	country-code	.as
.asda	generic	.asda
.asia	sponsored	.asia
.associates	generic	.associates
.at	country-code	.at
.athleta	generic	.athleta
.attorney	generic	.attorney
.au	country-code	.au
.auction	generic	.auction
.audi	generic	.audi
.audible	generic	.audible
.audio	generic	.audio
.auspost	generic	.auspost
.author	generic	.author
.auto	generic	.auto
.autos	generic	.autos
.aw	country-code	.aw
.aws	generic	.aws
