name	sex	count
Aaliyah	f	264
Aaron	m	1645
Abas	m	176
Abbas	m	1503
Abbe	m	1277
Abd	m	623
Abdalla	m	388
Abdallah	m	640
Abdel	m	246
Abdelrahman	m	200
Abdi	m	1147
Abdiaziz	m	296
Abdifatah	m	479
Abdikarim	m	222
Abdinasir	m	296
Abdiqani	m	161
Abdirahim	m	176
Abdirahman	m	1912
Abdirashid	m	226
Abdirizak	m	222
Abdo	m	195
Abdu	m	180
Abdul	m	2747
Abdulahi	m	386
Abdulaziz	m	406
Abdulkader	m	331
Abdulkadir	m	566
Abdulkarim	m	344
Abdulla	m	347
Abdullah	m	2819
Abdullahi	m	1524
Abdulrahman	m	1243
Abdurahman	m	184
Abeba	f	179
Abed	m	317
Abeer	f	513
Abel	m	597
Abigail	f	502
Abir	f	490
Abolfazl	m	171
Abraham	m	751
Abu	m	166
Abubakar	m	215
Abukar	m	198
Acke	m	169
Ada	f	915
Adam	m	25791
Adan	m	187
Adel	m	1115
Adela	f	577
Adele	f	1076
Adelia	f	230
Adelina	f	627
Adeline	f	313
Adem	m	736
Aden	m	168
Adham	m	240
Adi	m	191
Adiam	f	180
Adil	m	531
Adin	m	235
Adina	f	737
Adis	m	439
Adisa	f	211
Admir	m	488
Adna	f	334
Adnan	m	2370
Adrian	m	10733
Adriana	f	1219
Adriano	m	249
Adrienne	f	186
Adéle	f	181
Afaf	f	218
Aferdita	f	209
Afnan	f	191
Afrah	f	227
Afram	m	227
Afrim	m	216
Afsaneh	f	205
Afshin	m	178
Agata	f	484
Agaton	m	306
Agim	m	252
Agne	m	970
Agnes	f	15935
Agnesa	f	170
Agneta	f	17013
Agnetha	f	656
Agnieszka	f	1454
Agron	m	239
Agust	m	271
Ahlam	f	627
Ahmad	m	9901
Ahmed	m	9054
Ahmet	m	991
Aicha	f	393
Aida	f	1723
Aiden	m	357
Aikaterini	f	189
Aila	f	726
Aili	f	390
Aiman	m	196
Aimo	m	170
Aina	f	3200
Aino	f	862
Aira	f	204
Airi	f	245
Aisha	f	2159
Ajdin	m	346
Ajla	f	655
Akbar	m	242
Akram	m	803
Aksel	m	329
Ala	f	210
Alaa	f	1171
Alaa	m	1191
Alain	m	189
Alan	m	1636
Alba	f	1582
Alban	m	261
Albert	m	3450
Alberto	m	496
Albin	m	17598
Albina	f	335
Aldin	m	431
Aldo	m	223
Alea	f	357
Alec	m	201
Alejandra	f	348
Alejandro	m	724
Aleksandar	m	1511
Aleksander	m	894
Aleksandr	m	357
Aleksandra	f	2070
Aleksandrs	m	162
Aleksei	m	167
Alem	m	177
Alen	m	774
Alena	f	377
Alessandra	f	225
Alessandro	m	565
Alessia	f	331
Alessio	m	231
Alex	f	372
Alex	m	6591
Alexander	m	39873
Alexandra	f	13364
Alexandre	m	406
Alexandros	m	508
Alexandru	m	600
Alexia	f	730
Alexis	f	241
Alexis	m	742
Alf	m	8041
Alfhild	f	170
Alfons	m	2023
Alfred	m	10794
Alfredo	m	200
Algot	m	2513
Ali	m	16575
Alia	f	501
Alice	f	22158
Alicia	f	11283
Alicja	f	674
Alida	f	324
Alija	m	163
Alin	f	229
Alina	f	2815
Aline	f	542
Alireza	m	857
Alisa	f	843
Alisha	f	184
Alissa	f	555
Aliya	f	348
Aliyah	f	227
Alla	f	213
Allan	m	3474
Allen	m	178
Alli	f	178
Allie	f	319
Allis	f	398
Ally	f	565
Alma	f	12876
Almaz	f	309
Almin	m	166
Almir	m	561
Almira	f	206
Alrik	m	184
Altin	m	227
Alva	f	15580
Alvar	m	2217
Alvaro	m	319
Alve	m	1760
Alvin	m	5919
Alvina	f	384
Alwa	f	452
Alwin	m	753
Alyssa	f	204
Amadeus	m	957
Amal	f	1951
Amalia	f	850
Aman	m	368
Amanda	f	24608
Amandus	m	242
Amani	f	665
Amanuel	m	459
Amar	m	842
Amber	f	252
Ameer	m	281
Amel	f	245
Amel	m	318
Amela	f	655
Amelia	f	3310
Amelie	f	1951
Amena	f	175
Amer	m	1173
Ami	f	270
Amie	f	389
Amila	f	225
Amilia	f	424
Amin	m	1490
Amina	f	3585
Amine	m	166
Amir	m	5156
Amira	f	2043
Amit	m	195
Amjad	m	474
Ammar	m	1277
Amna	f	541
Amos	m	227
Amr	m	191
Amra	f	482
Amy	f	1070
Amélie	f	291
Ana	f	3047
Anab	f	296
Anahita	f	195
Anas	m	1768
Anastasia	f	1368
Anastasiia	f	305
Anastasija	f	279
Anastasios	m	220
Anders	m	75818
Andi	m	241
Andre	m	427
Andrea	f	4846
Andrea	m	367
Andreas	m	43957
Andreea	f	334
Andrei	m	845
Andrej	m	604
Andres	m	556
Andrew	m	1285
Andrey	m	221
Andrii	m	167
Andrius	m	228
Andrzej	m	1360
André	m	6459
Andréa	f	567
Andréas	m	1593
Andrée	m	279
Andrés	m	254
Andy	m	640
Anel	m	244
Anela	f	183
Anes	m	284
Aneta	f	541
Anett	f	347
Anette	f	18942
Angel	f	249
Angel	m	286
Angela	f	2487
Angelica	f	8049
Angelika	f	1438
Angelina	f	2259
Angelique	f	244
Angelo	m	812
Angelos	m	203
Anh	m	167
Ani	f	170
Anica	f	171
Anika	f	201
Anil	m	180
Anis	m	196
Anisa	f	676
Anita	f	23901
Anitha	f	329
Anja	f	3586
Anki	f	449
Ann	f	15495
Ann Charlotte	f	182
Ann-Britt	f	3965
Ann-Cathrin	f	408
Ann-Cathrine	f	551
Ann-Catrin	f	846
Ann-Catrine	f	418
Ann-Charlott	f	1540
Ann-Charlotte	f	6823
Ann-Chatrin	f	174
Ann-Chatrine	f	198
Ann-Christin	f	5591
Ann-Christine	f	3320
Ann-Cristin	f	244
Ann-Helen	f	371
Ann-Katrin	f	1507
Ann-Katrine	f	229
Ann-Kristin	f	3538
Ann-Kristine	f	275
Ann-Louise	f	3099
Ann-Margret	f	822
Ann-Margreth	f	269
Ann-Mari	f	2712
Ann-Marie	f	5221
Ann-Sofi	f	2124
Ann-Sofie	f	4870
Ann-Sophie	f	282
Anna	f	96428
Anna Greta	f	170
Anna Karin	f	950
Anna Lena	f	508
Anna Lisa	f	177
Anna Maria	f	817
Anna-Britt	f	175
Anna-Britta	f	260
Anna-Carin	f	1427
Anna-Greta	f	906
Anna-Karin	f	6374
Anna-Lena	f	5924
Anna-Liisa	f	231
Anna-Lisa	f	1316
Anna-Maria	f	1473
Anna-Sara	f	174
Anna-Stina	f	669
Annabelle	f	260
Annalena	f	279
Annbritt	f	214
Anne	f	9430
Anne Marie	f	208
Anne-Charlotte	f	950
Anne-Christine	f	578
Anne-Li	f	332
Anne-Lie	f	699
Anne-Louise	f	342
Anne-Maj	f	346
Anne-Mari	f	250
Anne-Marie	f	4005
Anne-Sofie	f	427
Anneli	f	14502
Annelie	f	8560
Annett	f	255
Annette	f	6827
Anni	f	813
Annica	f	6163
Annicka	f	695
Annie	f	5880
Annika	f	30745
Annikki	f	267
Annsofie	f	184
Anny	f	500
Ante	m	522
Anthon	m	440
Anthony	m	1476
Antoine	m	340
Antoinette	f	175
Anton	m	28518
Antoni	m	393
Antonia	f	1399
Antonio	m	2105
Antonios	m	260
Antony	m	252
Antti	m	429
Anu	f	217
Anwar	f	175
Anwar	m	655
Anya	f	267
Ara	m	162
Aram	m	912
Aran	m	204
Aras	m	416
Arash	m	708
Araz	m	186
Arben	m	334
Arda	m	290
Ardian	m	219
Aref	m	273
Ari	m	1311
Aria	f	216
Arian	m	857
Ariana	f	546
Ariel	m	176
Arif	m	362
Arild	m	256
Arina	f	246
Arja	f	761
Arkadiusz	m	445
Arkan	m	198
Arlinda	f	184
Arman	m	761
Armando	m	247
Armend	m	173
Armin	m	1133
Arne	m	9873
Arnold	m	660
Aron	m	3684
Arsema	f	252
Arta	f	198
Artem	m	213
Arthur	m	1416
Artin	m	344
Arto	m	492
Artur	m	1634
Arun	m	185
Arve	m	178
Arvid	m	13014
Arvin	m	677
Arvo	m	179
Arwa	f	223
Arwid	m	187
Arya	f	203
Aryan	m	397
Asaad	m	189
Asad	m	391
Asal	f	195
Aseel	f	281
Asha	f	639
Ashkan	m	230
Ashraf	m	386
Asia	f	378
Asif	m	222
Asim	m	290
Asiya	f	254
Asko	m	171
Aslan	m	213
Asli	f	200
Asma	f	983
Asmaa	f	709
Asmir	m	176
Assar	m	748
Asta	f	2554
Aster	f	286
Aston	m	1450
Astor	m	336
Astrid	f	16184
Asya	f	171
Athanasios	m	302
Athena	f	387
Atilla	m	168
Atlas	m	292
Atle	m	417
Attila	m	549
August	m	6698
Aune	f	212
Aurelia	f	234
Aurora	f	1484
Ava	f	1200
Avin	f	323
Awa	f	248
Awet	m	252
Axel	m	20576
Aya	f	1942
Ayaan	f	246
Ayad	m	297
Ayah	f	299
Ayan	f	715
Ayan	m	207
Ayat	f	387
Ayda	f	185
Aydin	m	341
Ayesha	f	342
Ayham	m	412
Ayhan	m	165
Ayla	f	1077
Aylin	f	1004
Ayman	m	1030
Aymen	m	206
Aynur	f	210
Ayoub	m	327
Ayse	f	620
Aysel	f	188
Aysha	f	285
Ayub	m	527
Azad	m	607
Azadeh	f	197
Azhar	f	219
Aziz	m	915
Aziza	f	424
Azra	f	897
Babak	m	343
Bahaa	m	182
Bahar	f	497
Bahman	m	208
Bahram	m	263
Bajram	m	273
Ban	f	199
Bana	f	196
Baraa	f	214
Baraa	m	200
Baran	m	323
Barbara	f	2195
Barbro	f	19646
Baris	m	177
Barry	m	184
Bartlomiej	m	281
Bartosz	m	408
Basel	m	501
Basem	m	228
Bashar	m	676
Bashir	m	599
Basma	f	326
Bassam	m	805
Bassel	m	162
Bastian	m	865
Batoul	f	392
Bayan	f	508
Bea	f	282
Beata	f	1728
Beate	f	229
Beatrice	f	4449
Beatrix	f	172
Beatriz	f	357
Behnam	m	172
Behzad	m	224
Bekim	m	286
Bekir	m	182
Belal	m	363
Belinda	f	658
Bella	f	2048
Belle	f	1026
Belma	f	293
Ben	m	919
Bengt	m	37369
Bengt Erik	m	162
Bengt Göran	m	261
Bengt Olof	m	184
Bengt Åke	m	425
Bengt-Arne	m	219
Bengt-Erik	m	297
Bengt-Göran	m	421
Bengt-Olof	m	461
Bengt-Olov	m	169
Bengt-Åke	m	706
Benita	f	636
Benjamin	m	11652
Benny	m	6107
Bent	m	267
Bente	f	475
Benyamin	m	291
Beppe	m	222
Berat	m	282
Bereket	m	316
Berfin	f	223
Berhane	m	226
Berit	f	15591
Berith	f	607
Berivan	f	293
Bernard	m	459
Bernd	m	236
Berndt	m	1126
Berne	m	342
Bernhard	m	423
Bernt	m	7508
Bernth	m	179
Bert	m	3147
Berta	f	417
Berth	m	407
Bertil	m	9369
Besim	m	350
Besnik	m	272
Bettina	f	441
Betty	f	1139
Bianca	f	3084
Bibbi	f	527
Bibi	f	589
Bilal	m	1500
Biljana	f	609
Bill	m	1873
Billie	f	587
Billy	m	2005
Bim	f	186
Biniam	m	291
Birger	m	1979
Birgit	f	9706
Birgitta	f	35775
Birgitte	f	243
Birk	m	512
Birthe	f	411
Bitte	f	366
Bjarne	m	1246
Björg	f	256
Björn	m	34329
Blanca	f	333
Blanka	f	221
Blenda	f	267
Blerim	m	225
Bo	m	35872
Bo Göran	m	254
Bo-Göran	m	291
Bob	m	600
Boban	m	176
Bobby	m	415
Bobo	m	256
Bodil	f	4523
Boel	f	1442
Bogdan	m	575
Bojan	m	469
Bojana	f	218
Bonnie	f	1601
Boo	m	173
Boris	m	1228
Bosse	m	758
Bozena	f	463
Brandon	m	279
Branislav	m	223
Branka	f	271
Branko	m	377
Brenda	f	202
Brian	m	962
Brigitte	f	410
Brita	f	2790
Britt	f	14374
Britt Inger	f	565
Britt Marie	f	552
Britt-Inger	f	1373
Britt-Louise	f	852
Britt-Mari	f	1753
Britt-Marie	f	9956
Britta	f	4957
Britten	f	216
Bror	m	3839
Bruce	m	173
Bruno	m	1966
Bryan	m	288
Bujar	m	183
Burak	m	239
Burhan	m	288
Burim	m	223
Bushra	f	637
Buster	m	243
Börje	m	6017
Caesar	m	333
Caisa	f	450
Caj	m	202
Cajsa	f	1794
Calle	m	1264
Calvin	m	164
Camila	f	372
Camilla	f	25730
Camilo	m	220
Can	m	234
Carin	f	5007
Carina	f	29474
Carita	f	1149
Carl	m	23998
Carl Johan	m	590
Carl Magnus	m	167
Carl-Axel	m	361
Carl-Eric	m	162
Carl-Erik	m	397
Carl-Fredrik	m	388
Carl-Gustaf	m	315
Carl-Gustav	m	340
Carl-Henrik	m	517
Carl-Johan	m	1958
Carl-Magnus	m	419
Carl-Olof	m	187
Carla	f	889
Carlo	m	267
Carlos	m	2095
Carmen	f	1087
Carol	f	348
Carola	f	4474
Carolin	f	1439
Carolina	f	6040
Caroline	f	18766
Carsten	m	443
Casandra	f	179
Caspar	m	257
Casper	m	6087
Caspian	m	1179
Cassandra	f	2266
Cataleya	f	226
Catalina	f	325
Catarina	f	4602
Catharina	f	4746
Catherine	f	1060
Cathrin	f	762
Cathrine	f	1604
Catrin	f	2134
Catrine	f	1006
Ceasar	m	171
Cecilia	f	23257
Cedric	m	173
Celeste	f	200
Celia	f	415
Celina	f	949
Celine	f	2252
Cesar	m	613
Cevin	m	165
Chanel	f	347
Chanelle	f	225
Chantal	f	183
Charbel	m	632
Charles	m	1859
Charlie	f	999
Charlie	m	10321
Charlott	f	786
Charlotta	f	6030
Charlotte	f	12107
Chatarina	f	579
Chatrine	f	210
Chelsea	f	234
Chi	m	175
Chiara	f	272
Chloe	f	572
Chloé	f	588
Chris	f	324
Chris	m	722
Christa	f	349
Christel	f	2869
Christelle	f	225
Christer	m	24143
Christian	m	19987
Christin	f	1618
Christina	f	28088
Christine	f	4319
Christofer	m	1764
Christoffer	m	12273
Christoph	m	209
Christophe	m	166
Christopher	m	5714
Christos	m	686
Cia	f	183
Cindy	f	666
Claes	m	9650
Claes Göran	m	187
Claes-Göran	m	1036
Claire	f	382
Clara	f	9410
Clarence	m	194
Clary	f	598
Clas	m	1957
Clas-Göran	m	258
Claudia	f	2243
Claudio	m	540
Claus	m	393
Cleo	f	1513
Cliff	m	172
Colin	m	2943
Collin	m	786
Connie	f	290
Conny	m	8089
Conrad	m	361
Constantin	m	506
Corina	f	173
Corinne	f	311
Cornelia	f	6368
Cornelis	m	630
Cornelius	m	223
Craig	m	163
Crister	m	543
Cristian	m	1192
Cristina	f	1530
Cristoffer	m	276
Csaba	m	217
Curt	m	1969
Cynthia	f	391
Céline	f	930
Dafina	f	212
Dag	m	2352
Daga	f	234
Dagmar	f	1230
Dagny	f	1308
Dahir	m	185
Dahlia	f	392
Daisy	f	668
Dajana	f	196
Dalal	f	414
Dalia	f	893
Dalibor	m	259
Damian	m	879
Damien	m	331
Damir	m	697
Dan	m	11444
Dana	f	811
Dana	m	240
Dani	m	579
Dania	f	640
Danial	m	490
Danica	f	298
Daniel	m	57195
Daniela	f	2351
Daniele	m	175
Daniella	f	2195
Danielle	f	480
Danijel	m	468
Danijela	f	568
Danilo	m	500
Danny	m	869
Dante	m	2896
Danuta	f	688
Daphne	f	218
Daria	f	693
Darian	m	201
Darin	f	180
Darin	m	490
Dario	m	485
Darius	m	385
Dariusz	m	918
Darko	m	572
Darya	f	228
David	m	33006
Davide	m	191
Davor	m	241
Dawid	m	778
Dawit	m	477
Dawood	m	168
Dea	f	184
Dean	m	278
Debora	f	248
Deborah	f	471
Dejan	m	974
Delia	f	208
Delina	f	282
Demir	m	173
Denice	f	449
Denis	m	1375
Denisa	f	198
Denise	f	2122
Deniz	f	247
Deniz	m	661
Dennis	m	12476
Denniz	m	222
Denny	m	492
Derek	m	185
Derya	f	271
Desireé	f	182
Desiré	f	236
Desirée	f	1148
Destiny	f	188
Devin	m	686
Dewin	m	211
Dexter	m	861
Diana	f	5891
Diane	f	176
Diar	m	204
Dick	m	2919
Didrik	m	959
Diego	m	757
Dieter	m	231
Dijana	f	408
Dilan	f	353
Dilan	m	286
Dilara	f	330
Dilek	f	201
Dima	f	513
Dimitra	f	218
Dimitri	m	199
Dimitrios	m	901
Dina	f	1261
Dino	m	867
Dion	m	510
Dirk	m	215
Disa	f	1359
Ditte	f	320
Diyar	m	304
Dmytro	m	195
Doaa	f	302
Dominic	m	681
Dominik	m	656
Dominika	f	391
Dominique	f	197
Donald	m	532
Donia	f	177
Donna	f	222
Donya	f	263
Dora	f	349
Dorian	m	221
Doris	f	4148
Dorota	f	781
Dorotea	f	171
Dorothea	f	224
Dorothy	f	202
Douglas	m	2895
Dragan	m	1260
Dragana	f	617
Dragica	f	388
Driton	m	178
Duaa	f	247
Duc	m	271
Dumitru	m	177
Dunia	f	223
Dunya	f	227
Dusan	m	410
Dylan	m	1183
Dzevad	m	168
Désirée	f	261
Ebba	f	19824
Ebbe	m	4950
Ebbot	m	491
Ebrahim	m	448
Ebrima	m	229
Ebru	f	223
Eda	f	329
Edda	f	958
Eddie	m	4096
Eddy	m	574
Eden	f	648
Edessa	f	192
Edgar	m	947
Edin	m	1112
Edina	f	589
Edis	m	202
Edison	m	209
Edit	f	1698
Edita	f	356
Edith	f	4513
Edla	f	271
Edmond	m	250
Edmund	m	205
Edna	f	236
Edona	f	219
Eduard	m	341
Eduardo	m	604
Edvard	m	1333
Edvin	m	9555
Edward	m	2477
Edwin	m	3379
Edyta	f	338
Eero	m	439
Eeva	f	688
Efe	m	194
Efrem	m	256
Egil	m	486
Egon	m	1160
Egzon	m	232
Ehsan	m	545
Eija	f	1025
Eije	m	162
Eila	f	1295
Eilert	m	211
Einar	m	2378
Eino	m	324
Eira	f	1695
Eivor	f	4197
Eje	m	466
Ejvor	f	308
Ekaterina	f	587
Ekrem	m	282
El	m	170
Ela	f	332
Elaine	f	806
Eldana	f	200
Eldar	m	230
Eldin	m	353
Eleanor	f	357
Elena	f	3795
Eleni	f	819
Elenor	f	610
Elenore	f	187
Eleonor	f	1302
Eleonora	f	1227
Eleonore	f	545
Elham	f	674
Eli	f	260
Eli	m	592
Elia	m	447
Eliah	m	258
Elian	m	394
Eliana	f	664
Elias	m	23180
Eliaz	m	201
Elicia	f	545
Elida	f	203
Elie	m	342
Elif	f	716
Elijah	m	375
Elin	f	37081
Elina	f	6362
Eline	f	324
Elinor	f	1447
Elinore	f	220
Elion	m	304
Eliot	m	299
Eliott	m	174
Elis	m	3800
Elisa	f	1526
Elisabet	f	9671
Elisabeth	f	19498
Elise	f	5109
