name	count
Aalto	371
Aaltonen	239
Aasa	229
Abazi	356
Abbas	2046
Abbasi	483
Abboud	305
Abdalla	997
Abdallah	775
Abdi	5213
Abdillahi	257
Abdirahman	576
Abdo	888
Abdu	333
Abdulahad	458
Abdulahi	470
Abdulaziz	226
Abdulkader	401
Abdulkadir	424
Abdulkarim	367
Abdulla	827
Abdullah	2246
Abdullahi	1959
Abdulle	724
Abdulrahman	787
Abed	526
Abelsson	342
Abid	210
Ablahad	184
Aboud	188
Abraha	599
Abraham	1019
Abrahamsson	8494
Abramsson	408
Abrha	216
Abshir	197
Abukar	607
Acar	464
Adam	1393
Adams	222
Adamsson	1441
Adan	936
Adem	593
Ademi	639
Aden	1207
Adielsson	279
Adler	959
Adnan	269
Adolfsson	6809
Adow	195
Adrian	215
Adriansson	319
Afrah	203
Afram	543
Afshar	229
Afzal	227
Afzali	297
Afzelius	310
Agerberg	197
Agha	263
Agirman	203
Agovic	201
Agrell	306
Ahl	1834
Ahlander	240
Ahlberg	3623
Ahlbin	260
Ahlbom	498
Ahlborg	256
Ahlbäck	454
Ahlenius	374
Ahlfors	321
Ahlgren	3561
Ahlin	2406
Ahlinder	400
Ahlkvist	286
Ahlm	566
Ahlman	447
Ahlmark	195
Ahlquist	344
Ahlqvist	2538
Ahlstedt	870
Ahlstrand	877
Ahlström	4211
Ahlsén	403
Ahlén	906
Ahmad	4127
Ahmadi	3503
Ahmadzai	207
Ahmed	12280
Ahmeti	581
Ahmetovic	254
Ahnlund	183
Ahnström	215
Aho	1056
Ahola	355
Ahonen	397
Ahrén	185
Ajeti	200
Akan	278
Akbar	178
Akbari	1140
Akgün	242
Akhtar	322
Akram	247
Aksoy	227
Aktas	235
Akter	479
Akyol	189
Akyüz	183
Al Ahmad	234
Al Ali	380
Al Hasan	184
Al Khatib	241
Al Masri	256
Al-Azzawi	263
Al-Bayati	287
Al-Dulaimi	258
Al-Janabi	208
Al-Jumaili	197
Al-Khafaji	224
Al-Khamees	179
Al-Musawi	187
Al-Obaidi	282
Al-Rubaye	336
Al-Saadi	289
Al-Saedi	267
Al-Tameemi	234
Al-Zubaidi	191
Al-Zuhairi	409
Alabdullah	285
Alabed	182
Alagic	311
Alahmad	789
Alali	831
Alam	614
Alander	200
Alasaad	221
Alatalo	393
Alawad	188
Albertsson	1727
Albihn	263
Albin	262
Albinsson	1812
Albrecht	232
Albrektsson	457
Aldrin	274
Aldén	928
Aleksic	207
Alem	191
Alenius	721
Alex	232
Alexander	188
Alexandersson	3824
Alf	225
Alfredsson	3937
Algotsson	843
Alhalabi	192
Alhamad	180
Alhasan	596
Alhassan	211
Alhussein	266
Ali	16858
Alibrahim	250
Alic	365
Alija	278
Alin	357
Alinder	184
Alissa	255
Aliu	299
Alizada	333
Alizadeh	455
Alkhalaf	263
Alkhalil	191
Alkhatib	626
Alkurdi	182
Allansson	616
Allard	694
Allen	219
Allvin	291
Alm	5582
Almasri	564
Almassri	265
Almberg	455
Almgren	2385
Almkvist	538
Almlöf	456
Almohamad	327
Almohammad	257
Almquist	739
Almqvist	3525
Almroth	762
Almstedt	321
Almström	801
Almén	1297
Almér	195
Alnajjar	252
Alomar	226
Alp	313
Alriksson	439
Alsaadi	225
Alsaleh	380
Alsayed	241
Alström	285
Alsén	580
Altin	244
Altun	490
Alvarez	257
Alvarsson	861
Alvin	296
Alvén	201
Alwan	324
Alyousef	208
Aman	200
Amani	192
Amanuel	241
Ambjörnsson	288
Ameen	209
Amer	366
Amin	1650
Amini	776
Amir	212
Amiri	1408
Ammar	239
Amrén	256
Amundsen	194
Amundsson	194
Ander	482
Anderberg	2269
Andersen	4311
Anderson	1074
Andersson	216488
Anderstedt	219
Andersén	330
Andreasen	241
Andreassen	367
Andreasson	7869
Andresen	342
André	1051
Andréasson	725
Andrée	355
Andrén	3143
Andén	347
Anell	189
Angel	272
Angelin	224
Anjou	274
Ankarberg	256
Annell	263
Annerstedt	189
Ansari	451
Antar	248
Anton	203
Antonsen	198
Antonsson	3234
Anttila	687
Anwar	321
Anwari	186
Apelgren	428
Apell	439
Apelqvist	471
Appel	298
Appelberg	382
Appelgren	1246
Appelkvist	357
Appelquist	204
Appelqvist	956
Arab	390
Araya	718
